[INFO ] 03-10-2024 07:30:40 [main] Log - Test case: DangKyKhongThanhCong_FailEmail test is starting...
[INFO ] 03-10-2024 07:30:40 [main] Log - Truy cap trang: https://maybi.com/
[INFO ] 03-10-2024 07:30:45 [main] Log - [Hover] vào By.xpath: /html/body/header/div/div[4]/div/div[1]
[INFO ] 03-10-2024 07:30:45 [main] Log - [Click] vào By.xpath: //a[contains(text(),'Đăng ký')]
[INFO ] 03-10-2024 07:30:49 [main] Log - [Clear text] của By.id: lastName
[INFO ] 03-10-2024 07:30:49 [main] Log - [Set text] của By.id: lastName
[INFO ] 03-10-2024 07:30:49 [main] Log - [Clear text] của By.id: firstName
[INFO ] 03-10-2024 07:30:50 [main] Log - [Set text] của By.id: firstName
[INFO ] 03-10-2024 07:30:50 [main] Log - [Clear text] của By.id: email
[INFO ] 03-10-2024 07:30:50 [main] Log - [Set text] của By.id: email
[INFO ] 03-10-2024 07:30:50 [main] Log - [Clear text] của By.id: Phone
[INFO ] 03-10-2024 07:30:50 [main] Log - [Set text] của By.id: Phone
[INFO ] 03-10-2024 07:30:50 [main] Log - [Clear text] của By.id: password
[INFO ] 03-10-2024 07:30:50 [main] Log - [Set text] của By.id: password
